County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
44 - Santa Cruz,6/1/2023,Pending Construction,"$75,199.36 ",2,
44 - Santa Cruz,6/1/2023,In Construction,"$12,763,874.50 ",11,
44 - Santa Cruz,6/1/2023,In Closure,0,0,
45 - Shasta,6/1/2023,In Review,"$163,581.00 ",1,
45 - Shasta,6/1/2023,Pending Construction,"$566,000.00 ",4,
45 - Shasta,6/1/2023,In Construction,"$11,031,359.50 ",14,
45 - Shasta,6/1/2023,In Closure,"$2,057,855.00 ",2,
46 - Sierra,6/1/2023,In Review,0,0,
46 - Sierra,6/1/2023,Pending Construction,0,0,
46 - Sierra,6/1/2023,In Construction,"$12,000.00 ",1,
46 - Sierra,6/1/2023,In Closure,0,0,
47 - Siskiyou,6/1/2023,In Review,"$1,200,000.00 ",1,
47 - Siskiyou,6/1/2023,Pending Construction,0,0,
47 - Siskiyou,6/1/2023,In Construction,"$2,681,758.00 ",6,
47 - Siskiyou,6/1/2023,In Closure,"$737,444.69 ",2,
48 - Solano,6/1/2023,In Review,"$58,304,436.00 ",11,Bay Area Counties
48 - Solano,6/1/2023,Pending Construction,"$25,994,713.00 ",25,Bay Area Counties
48 - Solano,6/1/2023,In Construction,"$46,911,240.53 ",37,Bay Area Counties
48 - Solano,6/1/2023,In Closure,"$5,506,926.01 ",3,Bay Area Counties
49 - Sonoma,6/1/2023,In Review,"$5,454,229.00 ",8,Bay Area Counties
49 - Sonoma,6/1/2023,Pending Construction,"$10,665,113.31 ",16,Bay Area Counties
49 - Sonoma,6/1/2023,In Construction,"$62,495,833.77 ",58,Bay Area Counties
49 - Sonoma,6/1/2023,In Closure,"$120,485.00 ",2,Bay Area Counties
50 - Stanislaus,6/1/2023,In Review,"$6,341,265.00 ",6,
50 - Stanislaus,6/1/2023,Pending Construction,"$21,642,439.00 ",18,
50 - Stanislaus,6/1/2023,In Construction,"$43,686,213.39 ",26,
50 - Stanislaus,6/1/2023,In Closure,"$2,328,639.00 ",3,
51 - Sutter,6/1/2023,In Review,0,0,
51 - Sutter,6/1/2023,Pending Construction,0,0,
51 - Sutter,6/1/2023,In Construction,"$280,000.00 ",3,
51 - Sutter,6/1/2023,In Closure,0,0,
52 - Tehama,6/1/2023,In Review,"$283,000.00 ",1,
52 - Tehama,6/1/2023,Pending Construction,0,0,
52 - Tehama,6/1/2023,In Construction,"$5,565,848.00 ",5,
52 - Tehama,6/1/2023,In Closure,"$1,540,109.00 ",2,
53 - Trinity,6/1/2023,In Review,0,0,
53 - Trinity,6/1/2023,Pending Construction,0,0,
53 - Trinity,6/1/2023,In Construction,"$955,250.00 ",2,
53 - Trinity,6/1/2023,In Closure,0,0,
54 - Tulare,6/1/2023,In Review,"$23,967,900.00 ",3,
54 - Tulare,6/1/2023,Pending Construction,"$2,344,898.00 ",9,
54 - Tulare,6/1/2023,In Construction,"$48,607,221.51 ",18,
54 - Tulare,6/1/2023,In Closure,"$67,870.00 ",2,
55 - Tuolumne,6/1/2023,In Review,0,0,
55 - Tuolumne,6/1/2023,Pending Construction,0,0,
55 - Tuolumne,6/1/2023,In Construction,"$3,877,792.30 ",3,
55 - Tuolumne,6/1/2023,In Closure,0,0,
56 - Ventura,6/1/2023,In Review,"$12,546,700.00 ",5,Greater Los Angeles Counties
56 - Ventura,6/1/2023,Pending Construction,"$20,995,987.80 ",20,Greater Los Angeles Counties
56 - Ventura,6/1/2023,In Construction,"$170,837,625.84 ",24,Greater Los Angeles Counties
56 - Ventura,6/1/2023,In Closure,"$11,874,966.31 ",3,Greater Los Angeles Counties
57 - Yolo,6/1/2023,In Review,"$65,000.00 ",1,Greater Sacramento Counties
57 - Yolo,6/1/2023,Pending Construction,"$2,013,579.00 ",3,Greater Sacramento Counties
57 - Yolo,6/1/2023,In Construction,"$65,813,740.32 ",13,Greater Sacramento Counties
57 - Yolo,6/1/2023,In Closure,"$244,815.00 ",1,Greater Sacramento Counties
58 - Yuba,6/1/2023,In Review,0,0,
58 - Yuba,6/1/2023,Pending Construction,"$1,649,800.00 ",5,
58 - Yuba,6/1/2023,In Construction,"$2,573,323.00 ",4,
58 - Yuba,6/1/2023,In Closure,"$110,706.93 ",2,
01 - Alameda,6/15/2023,In Review,"$140,806,689.00 ",29,Bay Area Counties
01 - Alameda,6/15/2023,Pending Construction,"$46,181,808.00 ",49,Bay Area Counties
01 - Alameda,6/15/2023,In Construction,"$215,570,478.92 ",95,Bay Area Counties
01 - Alameda,6/15/2023,In Closure,"$27,743,114.14 ",23,Bay Area Counties
02 - Alpine,6/15/2023,In Review,0,0,
02 - Alpine,6/15/2023,Pending Construction,0,0,
02 - Alpine,6/15/2023,In Construction,0,0,
02 - Alpine,6/15/2023,In Closure,0,0,
03 - Amador,6/15/2023,In Review,"$50,000.00 ",1,
03 - Amador,6/15/2023,Pending Construction,"$22,500.00 ",1,
03 - Amador,6/15/2023,In Construction,"$6,329,813.00 ",1,
03 - Amador,6/15/2023,In Closure,0,0,
04 - Butte,6/15/2023,In Review,"$150,000.00 ",1,
04 - Butte,6/15/2023,Pending Construction,"$2,277,500.00 ",2,
04 - Butte,6/15/2023,In Construction,"$111,588,617.02 ",9,
04 - Butte,6/15/2023,In Closure,"$108,248.50 ",1,
05 - Calaveras,6/15/2023,In Review,"$5,287,846.00 ",3,
05 - Calaveras,6/15/2023,Pending Construction,"$463,960.00 ",2,
05 - Calaveras,6/15/2023,In Construction,"$144,865.00 ",1,
05 - Calaveras,6/15/2023,In Closure,0,0,
06 - Colusa,6/15/2023,In Review,0,0,
06 - Colusa,6/15/2023,Pending Construction,0,0,
06 - Colusa,6/15/2023,In Construction,0,0,
06 - Colusa,6/15/2023,In Closure,0,0,
07 - Contra Costa,6/15/2023,In Review,"$26,777,466.00 ",13,Bay Area Counties
07 - Contra Costa,6/15/2023,Pending Construction,"$43,475,558.75 ",32,Bay Area Counties
07 - Contra Costa,6/15/2023,In Construction,"$120,840,221.40 ",70,Bay Area Counties
07 - Contra Costa,6/15/2023,In Closure,"$15,794,791.00 ",10,Bay Area Counties
08 - Del Norte,6/15/2023,In Review,"$1,158,708.00 ",1,
08 - Del Norte,6/15/2023,Pending Construction,"$3,971,700.00 ",3,
08 - Del Norte,6/15/2023,In Construction,"$543,800.00 ",3,
08 - Del Norte,6/15/2023,In Closure,"$321,468.18 ",1,
09 - El Dorado,6/15/2023,In Review,"$959,441.00 ",2,Greater Sacramento Counties
09 - El Dorado,6/15/2023,Pending Construction,"$739,294.00 ",5,Greater Sacramento Counties
09 - El Dorado,6/15/2023,In Construction,"$11,374,090.90 ",10,Greater Sacramento Counties
09 - El Dorado,6/15/2023,In Closure,"$74,566.63 ",1,Greater Sacramento Counties
10 - Fresno,6/15/2023,In Review,"$5,088,083.00 ",11,
10 - Fresno,6/15/2023,Pending Construction,"$9,871,270.60 ",19,
10 - Fresno,6/15/2023,In Construction,"$135,889,320.16 ",69,
10 - Fresno,6/15/2023,In Closure,"$3,945,520.00 ",8,
11 - Glenn,6/15/2023,In Review,"$65,000.00 ",1,
11 - Glenn,6/15/2023,Pending Construction,"$95,142.00 ",2,
11 - Glenn,6/15/2023,In Construction,"$403,000.00 ",1,
11 - Glenn,6/15/2023,In Closure,0,0,
12 - Humboldt,6/15/2023,In Review,"$3,103,660.00 ",4,
12 - Humboldt,6/15/2023,Pending Construction,"$1,742,734.00 ",5,
12 - Humboldt,6/15/2023,In Construction,"$22,587,423.50 ",13,
12 - Humboldt,6/15/2023,In Closure,"$931,054.00 ",2,
13 - Imperial,6/15/2023,In Review,0,0,
13 - Imperial,6/15/2023,Pending Construction,"$301,160.00 ",1,
13 - Imperial,6/15/2023,In Construction,"$43,231,298.00 ",12,
13 - Imperial,6/15/2023,In Closure,0,0,
14 - Inyo,6/15/2023,In Review,"$96,250.00 ",1,
14 - Inyo,6/15/2023,Pending Construction,0,0,
14 - Inyo,6/15/2023,In Construction,"$4,455,003.68 ",3,
14 - Inyo,6/15/2023,In Closure,0,0,
15 - Kern,6/15/2023,In Review,"$52,521,246.00 ",10,
15 - Kern,6/15/2023,Pending Construction,"$29,483,840.65 ",31,
15 - Kern,6/15/2023,In Construction,"$159,359,543.15 ",36,
15 - Kern,6/15/2023,In Closure,"$390,941.25 ",3,
16 - Kings,6/15/2023,In Review,0,0,
16 - Kings,6/15/2023,Pending Construction,0,0,
16 - Kings,6/15/2023,In Construction,0,0,
16 - Kings,6/15/2023,In Closure,0,0,
17 - Lake,6/15/2023,In Review,"$933,000.00 ",3,
17 - Lake,6/15/2023,Pending Construction,"$415,000.00 ",2,
17 - Lake,6/15/2023,In Construction,"$4,472,053.00 ",6,
17 - Lake,6/15/2023,In Closure,"$191,241.00 ",1,
18 - Lassen,6/15/2023,In Review,0,0,
18 - Lassen,6/15/2023,Pending Construction,"$4,971,699.00 ",2,
18 - Lassen,6/15/2023,In Construction,"$9,044,732.00 ",3,
18 - Lassen,6/15/2023,In Closure,0,0,
19 - Los Angeles,6/15/2023,In Review,"$1,093,268,580.39 ",199,Greater Los Angeles Counties
19 - Los Angeles,6/15/2023,Pending Construction,"$416,155,021.95 ",466,Greater Los Angeles Counties
19 - Los Angeles,6/15/2023,In Construction,"$1,967,340,056.52 ",960,Greater Los Angeles Counties
19 - Los Angeles,6/15/2023,In Closure,"$160,716,387.34 ",120,Greater Los Angeles Counties
20 - Madera,6/15/2023,In Review,"$10,788,879.99 ",4,
20 - Madera,6/15/2023,Pending Construction,0,0,
20 - Madera,6/15/2023,In Construction,"$72,201,551.97 ",19,
20 - Madera,6/15/2023,In Closure,"$155,452.57 ",2,
21 - Marin,6/15/2023,In Review,"$12,661,500.00 ",5,Bay Area Counties
21 - Marin,6/15/2023,Pending Construction,"$12,239,929.00 ",14,Bay Area Counties
21 - Marin,6/15/2023,In Construction,"$54,429,248.24 ",40,Bay Area Counties
21 - Marin,6/15/2023,In Closure,"$236,428.17 ",3,Bay Area Counties
22 - Mariposa,6/15/2023,In Review,0,0,
22 - Mariposa,6/15/2023,Pending Construction,0,0,
22 - Mariposa,6/15/2023,In Construction,"$158,000.00 ",2,
22 - Mariposa,6/15/2023,In Closure,0,0,
23 - Mendocino,6/15/2023,In Review,"$2,612,683.00 ",4,
23 - Mendocino,6/15/2023,Pending Construction,"$1,926,287.00 ",7,
23 - Mendocino,6/15/2023,In Construction,"$6,417,981.68 ",13,
23 - Mendocino,6/15/2023,In Closure,"$60,415.64 ",2,
24 - Merced,6/15/2023,In Review,"$100,000.00 ",3,
24 - Merced,6/15/2023,Pending Construction,"$4,428,000.00 ",3,
24 - Merced,6/15/2023,In Construction,"$1,660,006.00 ",2,
24 - Merced,6/15/2023,In Closure,0,0,
25 - Modoc,6/15/2023,In Review,"$42,100,000.00 ",3,
25 - Modoc,6/15/2023,Pending Construction,"$1,500,000.00 ",1,
25 - Modoc,6/15/2023,In Construction,"$2,414,410.00 ",1,
25 - Modoc,6/15/2023,In Closure,0,0,
26 - Mono,6/15/2023,In Review,0,0,
26 - Mono,6/15/2023,Pending Construction,0,0,
26 - Mono,6/15/2023,In Construction,"$1,322,481.00 ",2,
26 - Mono,6/15/2023,In Closure,0,0,
27 - Monterey,6/15/2023,In Review,"$15,442,413.00 ",10,
27 - Monterey,6/15/2023,Pending Construction,"$18,332,925.00 ",16,
27 - Monterey,6/15/2023,In Construction,"$57,726,821.00 ",27,
27 - Monterey,6/15/2023,In Closure,"$1,582,373.00 ",5,
28 - Napa,6/15/2023,In Review,"$2,749,434.00 ",3,Bay Area Counties
28 - Napa,6/15/2023,Pending Construction,"$2,404,168.40 ",10,Bay Area Counties
28 - Napa,6/15/2023,In Construction,"$29,476,766.88 ",16,Bay Area Counties
28 - Napa,6/15/2023,In Closure,"$15,000.00 ",1,Bay Area Counties
29 - Nevada,6/15/2023,In Review,"$550,000.00 ",1,
29 - Nevada,6/15/2023,Pending Construction,"$12,000,000.00 ",2,
29 - Nevada,6/15/2023,In Construction,"$7,289,392.00 ",6,
29 - Nevada,6/15/2023,In Closure,0,0,
30 - Orange,6/15/2023,In Review,"$417,329,562.95 ",53,Greater Los Angeles Counties
30 - Orange,6/15/2023,Pending Construction,"$88,057,316.40 ",106,Greater Los Angeles Counties
30 - Orange,6/15/2023,In Construction,"$636,924,199.91 ",152,Greater Los Angeles Counties
30 - Orange,6/15/2023,In Closure,"$68,129,747.64 ",23,Greater Los Angeles Counties
31 - Placer,6/15/2023,In Review,"$243,901,836.00 ",16,Greater Sacramento Counties
31 - Placer,6/15/2023,Pending Construction,"$13,472,606.00 ",9,Greater Sacramento Counties
31 - Placer,6/15/2023,In Construction,"$98,637,740.00 ",25,Greater Sacramento Counties
31 - Placer,6/15/2023,In Closure,"$4,701,332.00 ",3,Greater Sacramento Counties
32 - Plumas,6/15/2023,In Review,"$23,042,195.00 ",2,
32 - Plumas,6/15/2023,Pending Construction,"$5,000.00 ",1,
32 - Plumas,6/15/2023,In Construction,"$428,650.00 ",3,
32 - Plumas,6/15/2023,In Closure,"$289,348.00 ",1,
33 - Riverside,6/15/2023,In Review,"$94,376,953.00 ",27,
33 - Riverside,6/15/2023,Pending Construction,"$91,692,181.00 ",60,
33 - Riverside,6/15/2023,In Construction,"$454,663,435.40 ",145,
33 - Riverside,6/15/2023,In Closure,"$116,874,284.53 ",26,
34 - Sacramento,6/15/2023,In Review,"$1,459,343,223.03 ",32,Greater Sacramento Counties
34 - Sacramento,6/15/2023,Pending Construction,"$28,145,861.05 ",46,Greater Sacramento Counties
34 - Sacramento,6/15/2023,In Construction,"$522,992,197.09 ",123,Greater Sacramento Counties
34 - Sacramento,6/15/2023,In Closure,"$39,582,433.80 ",15,Greater Sacramento Counties
35 - San Benito,6/15/2023,In Review,0,0,
35 - San Benito,6/15/2023,Pending Construction,0,0,
35 - San Benito,6/15/2023,In Construction,0,0,
35 - San Benito,6/15/2023,In Closure,0,0,
36 - San Bernardino,6/15/2023,In Review,"$34,689,251.00 ",26,
36 - San Bernardino,6/15/2023,Pending Construction,"$34,912,785.00 ",72,
36 - San Bernardino,6/15/2023,In Construction,"$183,233,945.38 ",114,
36 - San Bernardino,6/15/2023,In Closure,"$614,593,684.15 ",23,
37 - San Diego,6/15/2023,In Review,"$1,103,205,472.43 ",75,
37 - San Diego,6/15/2023,Pending Construction,"$54,117,337.57 ",78,
37 - San Diego,6/15/2023,In Construction,"$799,085,674.70 ",178,
37 - San Diego,6/15/2023,In Closure,"$477,252,908.52 ",43,
38 - San Francisco,6/15/2023,In Review,"$2,120,578,362.00 ",32,Bay Area Counties
38 - San Francisco,6/15/2023,Pending Construction,"$113,246,040.00 ",57,Bay Area Counties
38 - San Francisco,6/15/2023,In Construction,"$292,100,446.75 ",102,Bay Area Counties
38 - San Francisco,6/15/2023,In Closure,"$8,839,677.00 ",10,Bay Area Counties
39 - San Joaquin,6/15/2023,In Review,"$15,322,116.00 ",12,
39 - San Joaquin,6/15/2023,Pending Construction,"$5,841,193.00 ",9,
39 - San Joaquin,6/15/2023,In Construction,"$40,930,146.77 ",26,
39 - San Joaquin,6/15/2023,In Closure,"$6,062,840.00 ",1,
40 - San Luis Obispo,6/15/2023,In Review,"$78,110,500.00 ",10,
40 - San Luis Obispo,6/15/2023,Pending Construction,"$5,031,446.60 ",16,
40 - San Luis Obispo,6/15/2023,In Construction,"$7,950,549.98 ",19,
40 - San Luis Obispo,6/15/2023,In Closure,"$5,376,800.84 ",5,
41 - San Mateo,6/15/2023,In Review,"$2,220,591.00 ",4,Bay Area Counties
41 - San Mateo,6/15/2023,Pending Construction,"$15,853,075.00 ",25,Bay Area Counties
41 - San Mateo,6/15/2023,In Construction,"$39,164,169.11 ",50,Bay Area Counties
41 - San Mateo,6/15/2023,In Closure,"$22,337,788.93 ",6,Bay Area Counties
42 - Santa Barbara,6/15/2023,In Review,"$6,821,425.60 ",5,
42 - Santa Barbara,6/15/2023,Pending Construction,"$10,348,364.00 ",8,
42 - Santa Barbara,6/15/2023,In Construction,"$48,257,001.34 ",17,
42 - Santa Barbara,6/15/2023,In Closure,"$444,536.86 ",3,
43 - Santa Clara,6/15/2023,In Review,"$163,223,477.96 ",47,Bay Area Counties
43 - Santa Clara,6/15/2023,Pending Construction,"$340,594,466.54 ",70,Bay Area Counties
43 - Santa Clara,6/15/2023,In Construction,"$1,376,626,746.70 ",192,Bay Area Counties
43 - Santa Clara,6/15/2023,In Closure,"$33,162,638.26 ",31,Bay Area Counties
44 - Santa Cruz,6/15/2023,In Review,"$1,017,988.00 ",3,
44 - Santa Cruz,6/15/2023,Pending Construction,"$29,563.00 ",1,
44 - Santa Cruz,6/15/2023,In Construction,"$12,809,510.86 ",12,
44 - Santa Cruz,6/15/2023,In Closure,0,0,
45 - Shasta,6/15/2023,In Review,"$193,581.00 ",2,
45 - Shasta,6/15/2023,Pending Construction,"$566,000.00 ",4,
45 - Shasta,6/15/2023,In Construction,"$9,350,606.50 ",12,
45 - Shasta,6/15/2023,In Closure,"$3,721,608.00 ",3,
46 - Sierra,6/15/2023,In Review,0,0,
46 - Sierra,6/15/2023,Pending Construction,0,0,
46 - Sierra,6/15/2023,In Construction,"$12,000.00 ",1,
46 - Sierra,6/15/2023,In Closure,0,0,
47 - Siskiyou,6/15/2023,In Review,"$1,200,000.00 ",1,
47 - Siskiyou,6/15/2023,Pending Construction,0,0,
47 - Siskiyou,6/15/2023,In Construction,"$2,681,758.00 ",6,
47 - Siskiyou,6/15/2023,In Closure,"$737,444.69 ",2,
48 - Solano,6/15/2023,In Review,"$57,569,846.00 ",9,Bay Area Counties
48 - Solano,6/15/2023,Pending Construction,"$19,090,413.00 ",27,Bay Area Counties
48 - Solano,6/15/2023,In Construction,"$52,649,974.18 ",35,Bay Area Counties
48 - Solano,6/15/2023,In Closure,"$8,608,276.36 ",7,Bay Area Counties
49 - Sonoma,6/15/2023,In Review,"$4,084,533.00 ",10,Bay Area Counties
49 - Sonoma,6/15/2023,Pending Construction,"$12,550,113.31 ",17,Bay Area Counties
49 - Sonoma,6/15/2023,In Construction,"$62,564,353.77 ",56,Bay Area Counties
49 - Sonoma,6/15/2023,In Closure,"$895,485.00 ",5,Bay Area Counties
50 - Stanislaus,6/15/2023,In Review,"$9,020,100.00 ",7,
50 - Stanislaus,6/15/2023,Pending Construction,"$21,402,283.00 ",15,
50 - Stanislaus,6/15/2023,In Construction,"$43,771,186.64 ",27,
50 - Stanislaus,6/15/2023,In Closure,"$2,358,639.00 ",4,
51 - Sutter,6/15/2023,In Review,0,0,
51 - Sutter,6/15/2023,Pending Construction,0,0,
51 - Sutter,6/15/2023,In Construction,"$280,000.00 ",3,
51 - Sutter,6/15/2023,In Closure,0,0,
52 - Tehama,6/15/2023,In Review,"$283,000.00 ",1,
52 - Tehama,6/15/2023,Pending Construction,0,0,
52 - Tehama,6/15/2023,In Construction,"$5,565,848.00 ",5,
52 - Tehama,6/15/2023,In Closure,"$1,540,109.00 ",2,
53 - Trinity,6/15/2023,In Review,0,0,
53 - Trinity,6/15/2023,Pending Construction,0,0,
53 - Trinity,6/15/2023,In Construction,"$955,250.00 ",2,
53 - Trinity,6/15/2023,In Closure,0,0,
54 - Tulare,6/15/2023,In Review,"$23,967,900.00 ",3,
54 - Tulare,6/15/2023,Pending Construction,"$2,342,898.00 ",9,
54 - Tulare,6/15/2023,In Construction,"$48,607,221.51 ",18,
54 - Tulare,6/15/2023,In Closure,"$67,870.00 ",2,
55 - Tuolumne,6/15/2023,In Review,0,0,
55 - Tuolumne,6/15/2023,Pending Construction,0,0,
55 - Tuolumne,6/15/2023,In Construction,"$3,877,792.30 ",3,
55 - Tuolumne,6/15/2023,In Closure,0,0,
56 - Ventura,6/15/2023,In Review,"$11,329,000.00 ",5,Greater Los Angeles Counties
56 - Ventura,6/15/2023,Pending Construction,"$22,213,687.80 ",21,Greater Los Angeles Counties
56 - Ventura,6/15/2023,In Construction,"$170,845,125.84 ",24,Greater Los Angeles Counties
56 - Ventura,6/15/2023,In Closure,"$11,874,966.31 ",3,Greater Los Angeles Counties
57 - Yolo,6/15/2023,In Review,"$65,000.00 ",1,Greater Sacramento Counties
57 - Yolo,6/15/2023,Pending Construction,"$1,998,579.00 ",2,Greater Sacramento Counties
57 - Yolo,6/15/2023,In Construction,"$65,828,740.32 ",14,Greater Sacramento Counties
57 - Yolo,6/15/2023,In Closure,"$301,126.00 ",1,Greater Sacramento Counties
58 - Yuba,6/15/2023,In Review,0,0,
58 - Yuba,6/15/2023,Pending Construction,"$1,649,800.00 ",5,
58 - Yuba,6/15/2023,In Construction,"$2,081,878.00 ",3,
58 - Yuba,6/15/2023,In Closure,"$650,756.93 ",3,
01 - Alameda,7/3/2023,In Review,"$138,961,882.00 ",27,Bay Area Counties
01 - Alameda,7/3/2023,Pending Construction,"$42,878,892.00 ",41,Bay Area Counties
01 - Alameda,7/3/2023,In Construction,"$221,262,142.92 ",100,Bay Area Counties
01 - Alameda,7/3/2023,In Closure,"$29,341,821.35 ",26,Bay Area Counties
02 - Alpine,7/3/2023,In Review,0,0,
02 - Alpine,7/3/2023,Pending Construction,0,0,
02 - Alpine,7/3/2023,In Construction,0,0,
02 - Alpine,7/3/2023,In Closure,0,0,
03 - Amador,7/3/2023,In Review,"$50,000.00 ",1,
03 - Amador,7/3/2023,Pending Construction,0,0,
03 - Amador,7/3/2023,In Construction,"$6,352,313.00 ",2,
03 - Amador,7/3/2023,In Closure,0,0,
04 - Butte,7/3/2023,In Review,"$150,000.00 ",1,
04 - Butte,7/3/2023,Pending Construction,"$2,277,500.00 ",2,
04 - Butte,7/3/2023,In Construction,"$111,594,617.02 ",9,
04 - Butte,7/3/2023,In Closure,"$108,248.50 ",1,
05 - Calaveras,7/3/2023,In Review,"$5,287,846.00 ",3,
05 - Calaveras,7/3/2023,Pending Construction,"$463,960.00 ",2,
05 - Calaveras,7/3/2023,In Construction,"$144,865.00 ",1,
05 - Calaveras,7/3/2023,In Closure,0,0,
06 - Colusa,7/3/2023,In Review,0,0,
06 - Colusa,7/3/2023,Pending Construction,0,0,
06 - Colusa,7/3/2023,In Construction,0,0,
06 - Colusa,7/3/2023,In Closure,0,0,
07 - Contra Costa,7/3/2023,In Review,"$26,777,466.00 ",13,Bay Area Counties
07 - Contra Costa,7/3/2023,Pending Construction,"$41,134,156.75 ",29,Bay Area Counties
07 - Contra Costa,7/3/2023,In Construction,"$120,264,413.40 ",68,Bay Area Counties
07 - Contra Costa,7/3/2023,In Closure,"$16,960,475.00 ",13,Bay Area Counties
08 - Del Norte,7/3/2023,In Review,"$1,158,708.00 ",1,
08 - Del Norte,7/3/2023,Pending Construction,"$3,971,700.00 ",3,
08 - Del Norte,7/3/2023,In Construction,"$544,600.00 ",3,
08 - Del Norte,7/3/2023,In Closure,"$321,468.18 ",1,
09 - El Dorado,7/3/2023,In Review,"$959,441.00 ",2,Greater Sacramento Counties
09 - El Dorado,7/3/2023,Pending Construction,"$739,294.00 ",5,Greater Sacramento Counties
09 - El Dorado,7/3/2023,In Construction,"$11,362,920.90 ",9,Greater Sacramento Counties
09 - El Dorado,7/3/2023,In Closure,"$85,736.63 ",2,Greater Sacramento Counties
10 - Fresno,7/3/2023,In Review,"$4,393,083.00 ",10,
10 - Fresno,7/3/2023,Pending Construction,"$9,572,870.60 ",17,
10 - Fresno,7/3/2023,In Construction,"$136,157,920.16 ",71,
10 - Fresno,7/3/2023,In Closure,"$4,120,680.00 ",6,
11 - Glenn,7/3/2023,In Review,"$65,000.00 ",1,
11 - Glenn,7/3/2023,Pending Construction,"$95,142.00 ",2,
11 - Glenn,7/3/2023,In Construction,"$403,000.00 ",1,
11 - Glenn,7/3/2023,In Closure,0,0,
12 - Humboldt,7/3/2023,In Review,"$3,103,660.00 ",4,
12 - Humboldt,7/3/2023,Pending Construction,"$1,742,734.00 ",5,
12 - Humboldt,7/3/2023,In Construction,"$22,587,423.50 ",13,
12 - Humboldt,7/3/2023,In Closure,"$2,006,515.77 ",2,
13 - Imperial,7/3/2023,In Review,0,0,
13 - Imperial,7/3/2023,Pending Construction,"$301,160.00 ",1,
13 - Imperial,7/3/2023,In Construction,"$43,231,298.00 ",12,
13 - Imperial,7/3/2023,In Closure,0,0,
14 - Inyo,7/3/2023,In Review,"$96,250.00 ",1,
14 - Inyo,7/3/2023,Pending Construction,0,0,
14 - Inyo,7/3/2023,In Construction,"$4,455,003.68 ",3,
14 - Inyo,7/3/2023,In Closure,0,0,
15 - Kern,7/3/2023,In Review,"$52,304,246.00 ",8,
15 - Kern,7/3/2023,Pending Construction,"$25,590,347.65 ",32,
15 - Kern,7/3/2023,In Construction,"$159,360,543.15 ",36,
15 - Kern,7/3/2023,In Closure,"$390,941.25 ",3,
16 - Kings,7/3/2023,In Review,0,0,
16 - Kings,7/3/2023,Pending Construction,0,0,
16 - Kings,7/3/2023,In Construction,0,0,
16 - Kings,7/3/2023,In Closure,0,0,
17 - Lake,7/3/2023,In Review,"$1,249,852.00 ",4,
17 - Lake,7/3/2023,Pending Construction,"$415,000.00 ",2,
17 - Lake,7/3/2023,In Construction,"$4,472,053.00 ",6,
17 - Lake,7/3/2023,In Closure,"$213,003.62 ",1,
18 - Lassen,7/3/2023,In Review,0,0,
18 - Lassen,7/3/2023,Pending Construction,"$4,971,699.00 ",2,
18 - Lassen,7/3/2023,In Construction,"$9,044,732.00 ",3,
18 - Lassen,7/3/2023,In Closure,0,0,
19 - Los Angeles,7/3/2023,In Review,"$1,032,481,185.21 ",213,Greater Los Angeles Counties
19 - Los Angeles,7/3/2023,Pending Construction,"$415,960,325.63 ",456,Greater Los Angeles Counties
19 - Los Angeles,7/3/2023,In Construction,"$1,964,165,074.27 ",936,Greater Los Angeles Counties
19 - Los Angeles,7/3/2023,In Closure,"$162,928,026.64 ",137,Greater Los Angeles Counties
20 - Madera,7/3/2023,In Review,"$14,165,048.75 ",6,
20 - Madera,7/3/2023,Pending Construction,0,0,
20 - Madera,7/3/2023,In Construction,"$74,061,225.19 ",18,
20 - Madera,7/3/2023,In Closure,"$186,849.57 ",4,
21 - Marin,7/3/2023,In Review,"$12,324,000.00 ",4,Bay Area Counties
21 - Marin,7/3/2023,Pending Construction,"$12,232,429.00 ",14,Bay Area Counties
21 - Marin,7/3/2023,In Construction,"$48,387,416.24 ",39,Bay Area Counties
21 - Marin,7/3/2023,In Closure,"$7,029,760.17 ",4,Bay Area Counties
22 - Mariposa,7/3/2023,In Review,0,0,
22 - Mariposa,7/3/2023,Pending Construction,0,0,
22 - Mariposa,7/3/2023,In Construction,"$158,000.00 ",2,
22 - Mariposa,7/3/2023,In Closure,0,0,
23 - Mendocino,7/3/2023,In Review,"$2,603,383.00 ",3,
23 - Mendocino,7/3/2023,Pending Construction,"$1,239,839.00 ",7,
23 - Mendocino,7/3/2023,In Construction,"$7,120,729.68 ",14,
23 - Mendocino,7/3/2023,In Closure,"$33,891.64 ",1,
24 - Merced,7/3/2023,In Review,"$100,000.00 ",3,
24 - Merced,7/3/2023,Pending Construction,"$4,428,000.00 ",3,
24 - Merced,7/3/2023,In Construction,"$1,660,006.00 ",2,
24 - Merced,7/3/2023,In Closure,0,0,
25 - Modoc,7/3/2023,In Review,"$41,800,000.00 ",3,
25 - Modoc,7/3/2023,Pending Construction,"$1,500,000.00 ",1,
25 - Modoc,7/3/2023,In Construction,"$2,414,410.00 ",1,
25 - Modoc,7/3/2023,In Closure,0,0,
26 - Mono,7/3/2023,In Review,0,0,
26 - Mono,7/3/2023,Pending Construction,0,0,
26 - Mono,7/3/2023,In Construction,"$1,322,481.00 ",2,
26 - Mono,7/3/2023,In Closure,0,0,
27 - Monterey,7/3/2023,In Review,"$3,060,431.00 ",5,
